id,name,property_id,sqftsuper,image,images,type,sharetype,rent,parkingcharges,deposite,maintenance,status,availablebed,totalbed,availfrom,availto,windowstyle,iswindowmesh,details,parking_number,created_at,updated_at,tenure,windows,plugpoints,lights,tubelights,fans,showbulbs,balconylights,commpercentage,tds
1,"Room 1",1,120,0,,single,0,9900,0,30000,0,occupied,0,1,2016-06-01,2017-07-07,normal,no,,NULL,"2016-04-15 22:49:51","2017-03-10 03:02:10",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
2,"Room 2",1,120,0,,single,0,9900,0,30000,0,occupied,0,1,2016-05-01,2017-05-01,normal,no,NA,NULL,"2016-04-15 22:49:51","2017-03-10 03:02:10",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
3,"Room 3",1,120,0,,single,0,12000,0,36000,0,occupied,0,1,2016-05-01,2017-05-01,normal,no,NA,NULL,"2016-04-15 22:49:51","2017-03-10 03:02:10",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
7,"Room 1",3,168,0,,single,0,24900,0,74700,0,occupied,0,1,2016-05-01,2017-05-01,normal,no,,NULL,"2016-04-15 22:49:51","2017-12-15 11:34:23",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
8,"Room 2",3,168,0,,single,0,22400,0,67200,0,occupied,0,1,2016-05-01,2017-05-01,normal,no,,NULL,"2016-04-15 22:49:51","2017-02-22 13:44:27",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
10,"Room 1",4,154,0,,single,0,9900,0,30000,0,occupied,0,1,2016-05-01,2017-05-01,normal,yes,,NULL,"2016-04-15 22:49:51","2016-11-04 06:46:03",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
11,"Room 2",4,154,0,,single,0,9900,0,30000,0,occupied,0,1,2016-05-01,2017-05-01,normal,yes,,NULL,"2016-04-15 22:49:51","2016-11-04 06:46:03",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
12,"Room 3",4,168,0,,single,0,12400,0,39000,0,occupied,0,1,2016-05-01,2017-05-01,normal,yes,,NULL,"2016-04-15 22:49:51","2016-11-04 06:46:03",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
13,"Room 1",5,168,0,,single,0,18900,0,56700,0,occupied,0,1,2016-05-01,2017-05-01,normal,yes,,NULL,"2016-04-15 22:49:51","2017-07-30 02:49:37",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
14,"Room 2",5,168,0,,single,0,17900,0,53700,0,occupied,0,1,2016-05-01,2017-05-01,normal,yes,,NULL,"2016-04-15 22:49:51","2017-08-12 10:32:59",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
15,"Room 3",5,168,0,,single,0,19900,0,59700,0,occupied,0,1,2017-03-15,2018-03-14,normal,yes,"Fully Furnished with wardrobes – Area (168 sft) + Attached Bathroom + Shared living room and kitchen.",NULL,"2016-04-15 22:49:51","2018-02-28 20:41:30",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
16,"Room 1",6,168,0,,single,0,19900,1500,59700,0,occupied,0,1,2017-03-01,2017-10-14,normal,yes,"20% inconvenience fee  if rental is for 3 months.",NULL,NULL,"2017-12-15 11:40:13",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
17,"Room 2",6,168,0,,single,0,18900,1500,56700,0,occupied,0,1,2017-03-01,2017-10-14,normal,yes,"20% inconvenience fee  if rental is for 3 months.",NULL,NULL,"2018-01-20 03:13:12",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
18,"Room 3",6,168,0,,single,0,18900,0,56700,0,occupied,0,1,2017-03-01,2017-10-14,normal,yes,"20% inconvenience fee  if rental is for 3 months.",NULL,NULL,"2017-12-15 11:40:13",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
21,"Room 1",7,208,0,,single,0,9900,0,29700,0,occupied,0,1,2016-04-01,2017-10-06,french,no,"5% discount if rental is for 11 months, 20% inconvenience fee  if rental is for 3 months.",NULL,NULL,"2018-06-09 12:16:49",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00
22,"Room 2",7,193,0,,single,0,9900,0,29700,0,occupied,0,1,2016-04-01,2017-10-06,french,no,"5% discount if rental is for 11 months, 20% inconvenience fee  if rental is for 3 months.",NULL,NULL,"2018-06-09 12:16:49",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00
23,"Room 3",7,186,0,,single,0,9900,0,29700,0,occupied,0,1,2016-04-01,2017-10-06,french,no,"5% discount if rental is for 11 months, 20% inconvenience fee  if rental is for 3 months.",NULL,NULL,"2018-06-09 12:16:49",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00
24,"Room 4",7,168,0,,single,0,9900,0,29700,0,occupied,0,1,2016-04-01,2017-10-06,french,no,"5% discount if rental is for 11 months, 20% inconvenience fee  if rental is for 3 months.",NULL,NULL,"2018-06-09 12:16:49",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00
25,"Room 1",8,168,0,,single,0,13250,0,50000,0,occupied,0,1,2018-03-01,2019-03-01,normal,no," 5% reduction in rent if committed for 6 months, 10% reduction in rent for commitment of 11 months",NULL,NULL,"2018-06-09 12:07:17",36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00
26,"Room 2",8,168,0,,single,0,13250,0,50000,0,occupied,0,1,2018-03-01,2019-03-01,normal,no," 5% reduction in rent if committed for 6 months, 10% reduction in rent for commitment of 11 months",NULL,NULL,"2018-06-09 12:07:17",36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00
27,"Room 1",9,168,0,,single,0,19000,0,57000,0,occupied,0,1,2016-06-01,2017-06-01,normal,no," 5% if rental is for 6 months, 10%  if rental is for 11 months.",NULL,NULL,"2018-02-05 21:11:27",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
28,"Room 2",9,168,0,,single,0,19000,0,57000,0,occupied,0,1,2016-06-01,2017-06-01,normal,no," 5% if rental is for 6 months, 10%  if rental is for 11 months.",NULL,NULL,"2018-02-05 21:11:27",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
29,"Room 1",10,143,0,,single,0,12500,0,37500,0,available,1,1,2016-04-01,2017-07-21,normal,yes,,NULL,NULL,"2018-05-22 17:21:16",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00
30,"Room 2",10,143,0,,single,0,13900,0,41700,0,occupied,0,1,2016-04-01,2017-07-21,normal,yes,"Master Bed-Room",NULL,NULL,"2018-05-22 17:21:16",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00
31,"Room 3",10,169,0,,shared,0,7500,0,22500,0,available,1,1,2016-04-01,2017-07-21,normal,yes,,NULL,NULL,"2018-05-22 17:21:16",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00
32,"Room 1",11,110,0,,single,0,9900,0,29700,0,occupied,0,1,2016-05-01,2017-07-11,normal,yes,,NULL,NULL,"2017-02-18 19:16:22",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
33,"Room 2",11,155,0,,single,0,10900,0,32700,0,occupied,0,1,2016-05-01,2017-07-11,normal,yes,,NULL,NULL,"2017-02-18 19:16:22",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
34,"Room 3",11,130,0,,single,0,9900,0,29700,0,occupied,0,1,2016-05-01,2017-07-11,normal,yes,,NULL,NULL,"2017-02-18 19:16:23",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
35,"Room 4",11,130,0,,single,0,9900,1500,29700,0,occupied,0,1,2016-05-01,2017-07-11,normal,yes,,NULL,NULL,"2017-04-12 01:38:37",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
36,"Room 1",13,110,0,,single,0,9900,0,29700,0,occupied,0,1,2017-03-15,2018-02-14,normal,yes,,NULL,NULL,"2017-04-12 01:36:47",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
37,"Room 2",13,155,0,,single,0,10900,0,32700,0,occupied,0,1,2016-05-01,2017-07-11,normal,yes,,NULL,NULL,"2017-02-18 19:38:49",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
38,"Room 3",13,130,0,,single,0,9900,0,29700,0,occupied,0,1,2016-05-01,2017-07-11,normal,no,,NULL,NULL,"2017-02-18 19:38:49",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
39,"Room 4",13,130,0,,single,0,9900,0,29700,0,occupied,0,1,2016-05-01,2017-07-11,normal,yes,,NULL,NULL,"2017-02-18 19:38:49",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
40,"Room 1",17,300,0,,single,0,13000,0,39000,0,occupied,0,1,2016-06-01,2017-06-01,normal,yes,,NULL,"2016-06-24 17:36:03","2016-11-04 06:17:51",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
41,"Room 2",17,300,0,,single,0,13000,0,39000,0,occupied,0,1,2016-06-01,2017-06-01,normal,yes,,NULL,"2016-06-24 17:36:03","2016-11-04 06:17:51",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
50,"Room 1",21,320,0,,single,0,24900,NULL,149400,0,available,1,1,2016-07-01,2017-07-01,normal,yes,,NULL,"2016-07-11 14:25:44","2016-07-17 14:19:04",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
51,"Room 2",21,320,0,,single,0,24900,NULL,149400,0,available,1,1,2016-07-01,2017-07-01,normal,yes,,NULL,"2016-07-11 14:26:27","2016-07-17 14:19:10",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
52,"Room 1",23,205,0,,single,0,29000,0,299000,0,occupied,0,1,2016-07-14,2017-07-14,french,no,,NULL,"2016-07-14 22:07:17","2016-10-10 06:18:31",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
53,"Room 2",23,208,0,,single,0,17900,0,53700,0,occupied,0,1,2016-07-14,2017-07-14,french,no,"Bath Tub",NULL,"2016-07-14 22:11:15","2017-02-22 13:38:45",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
54,"Room 3",23,178,0,,single,0,16900,0,50700,0,occupied,0,1,2017-04-01,2017-07-14,french,no,"Bath Tub",NULL,"2016-07-14 22:12:58","2017-04-26 00:19:35",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,NULL
57,"ROOM 1",25,160,0,,single,0,14000,750,42000,0,occupied,0,1,2016-07-20,2017-07-20,normal,no,,NULL,"2016-07-21 01:56:46","2018-05-22 17:56:40",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00
58,"ROOM 2",25,126,0,,single,0,11000,750,33000,0,occupied,0,1,2016-07-20,2017-07-20,normal,no,,NULL,"2016-07-21 01:57:28","2018-05-22 17:56:40",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00
59,"ROOM 3",25,154,0,,single,0,13000,750,39000,0,occupied,0,1,2016-07-20,2017-07-20,normal,no,,NULL,"2016-07-21 01:58:36","2018-05-22 17:56:40",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00
