id,Page,Removed,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value,Name,locality,city,golden,rent,status,tag_as,siteVisitCount
187,/property/187,,884,744,0:02:12,141,60.99%,26.02%,$0.00 ,Bren Avalon,Mahadevpura,bengaluru,0,36000,available,marketplace,14
117,/property/117,,415,379,0:01:05,77,80.52%,29.88%,$0.00 ,Akme Harmony,Bellandur,bengaluru,0,44000,partial,marketplace,6
257,/property/257,,697,646,0:01:22,170,70.59%,38.74%,$0.00 ,Prestige Park View 1112,Whitefield,bengaluru,0,39000,available,managed,4
89,/property/89,,163,137,0:01:30,8,50.00%,17.79%,$0.00 ,Vaswani Reserve,Kadubeesanahalli,bengaluru,1,82000,available,marketplace,4
312,/property/312,,36,31,0:01:10,1,0.00%,22.22%,$0.00 ,Umasri Nivas,HSR Layout,bengaluru,0,80000,available,marketplace,3
103,/property/103,,477,423,0:01:43,175,75.43%,44.03%,$0.00 ,Oceanus Triton,Sarjapur road,bengaluru,0,57000,partial,marketplace,3
26,/property/26,,98,86,0:01:53,6,33.33%,17.35%,$0.00 ,Vars Jacaranda,Mahadevapura,bengaluru,0,32414,available,managed,3
58,/property/58,,273,241,0:01:27,99,65.66%,40.66%,$0.00 ,Sobha Habitech,Whitefield,bengaluru,0,40000,available,marketplace,3
99,/property/99,,171,158,0:01:14,9,77.78%,19.30%,$0.00 ,Maruti Grandeur,Bellandur,bengaluru,0,48000,available,marketplace,3
208,/property/208,,89,81,0:01:06,5,80.00%,20.22%,$0.00 ,Madhav Baugh Society,amanora,pune,0,34000,blocked,marketplace,3
206,/property/206,,"2,424","2,099",0:01:22,"1,801",81.40%,75.37%,$0.00 ,Panduranga Nagar,JP Nagar,bengaluru,0,35000,blocked,managed,3
243,/property/243,,138,117,0:01:35,18,61.11%,24.64%,$0.00 ,Bhartiya City 30710,thanisandra,bengaluru,0,24500,available,marketplace,3
93,/property/93,,514,472,0:01:08,33,60.61%,19.26%,$0.00 ,"SF, Blessings",Koramangala,bengaluru,0,19000,available,marketplace,2
36,/property/36,,621,571,0:02:07,112,78.57%,42.51%,$0.00 ,The Grove,Sarjapur,bengaluru,0,39139,occupied,managed,2
41,/property/41,,426,382,0:01:34,167,76.05%,46.24%,$0.00 ,Future Plaza,Sarjapur Main Road,bengaluru,0,22050,partial,managed,2
178,/property/178,,533,499,0:01:02,36,66.67%,17.45%,$0.00 ,Golden Woods,Sarjapur road,bengaluru,0,60000,available,marketplace,2
40,/property/40,,50,43,0:01:56,3,33.33%,24.00%,$0.00 ,Ganga Alfa Paradise,Wagholi,pune,0,13500,available,marketplace,2
260,/property/260,,279,255,0:01:03,16,56.25%,20.79%,$0.00 ,Suncity Gloria,Sarjapur,bengaluru,0,24000,available,marketplace,2
130,/property/130,,195,175,0:01:16,15,73.33%,23.08%,$0.00 ,Prestige Shantiniketan,Whitefield,bengaluru,0,49000,available,marketplace,2
97,/property/97,,133,122,0:01:18,52,86.54%,47.37%,$0.00 ,Saroj Enclave,HBR Layout,bengaluru,0,33000,partial,marketplace,2
147,/property/147,,208,185,0:01:42,28,46.43%,23.56%,$0.00 ,Max Sunflower,Whitefield,bengaluru,0,37000,available,marketplace,2
119,/property/119,,181,163,0:01:04,12,69.23%,12.15%,$0.00 ,Prestige Ferns Residency T 19,Haralur Road,bengaluru,0,41000,available,marketplace,2
123,/property/123,,64,60,0:01:30,4,75.00%,42.19%,$0.00 ,Goel Geet Ganga,Aundh,pune,0,29000,partial,managed,2
160,/property/160,,107,94,0:01:25,9,66.67%,26.17%,$0.00 ,Prestige Park View,WHitefield,bengaluru,0,47000,available,marketplace,2
218,/property/218,,292,266,0:00:50,21,76.19%,20.89%,$0.00 ,Keerthi Signature,whitefield,bengaluru,0,43000,partial,marketplace,2
143,/property/143,,119,102,0:02:09,19,47.37%,23.53%,$0.00 ,Prestige Park View,Whitefeld,bengaluru,0,48000,partial,marketplace,2
179,/property/179,,466,424,0:01:07,268,76.87%,58.58%,$0.00 ,Kumar Picasso E1,Hadapsar,pune,0,38000,partial,marketplace,2
182,/property/182,,309,278,0:01:18,37,75.68%,29.13%,$0.00 ,Ferns City,Mahadevpura,bengaluru,0,75000,partial,marketplace,2
239,/property/239,,345,311,0:01:27,87,73.56%,39.42%,$0.00 ,Sri Tirumala Sarovar K06,Singasandra,bengaluru,0,30100,partial,marketplace,2
274,/property/274,,48,40,0:03:52,7,42.86%,35.42%,$0.00 ,Nitesh Central Park,Bagalur,bengaluru,0,25000,available,marketplace,2
303,/property/303,,37,32,0:00:36,3,100.00%,32.43%,$0.00 ,Sobha Dream Acres Apartments,Panathur,bengaluru,0,25000,available,marketplace,2
25,/property/25,,39,35,0:00:38,0,0.00%,10.26%,$0.00 ,NR Springwoods,Manyata Tech Park,bengaluru,0,23031,occupied,managed,1
34,/property/34,,30,28,0:00:37,5,60.00%,26.67%,$0.00 ,"DLF Maiden Heights A-11, Electronic City",Electronic City,bengaluru,0,29700,blocked,marketplace,1
35,/property/35,,20,18,0:01:34,1,100.00%,30.00%,$0.00 ,DLF Maiden Heights,Electronic City,bengaluru,0,29700,available,marketplace,1
272,/property/272,,196,165,0:01:02,87,66.67%,46.43%,$0.00 ,Ricmond Pride,Electronic City,bengaluru,0,22000,available,marketplace,1
46,/property/46,,54,48,0:00:39,5,60.00%,29.63%,$0.00 ,Aishwarya Opulence,Marathalli,bengaluru,0,38587,available,managed,1
9,/property/9,,31,28,0:00:55,6,66.67%,41.94%,$0.00 ,Springfields,Sarjapur Main Road,bengaluru,0,23590,blocked,managed,1
3,/property/3,,78,74,0:01:03,1,0.00%,14.10%,$0.00 ,Raheja Residency,Koramangala,bengaluru,0,42469,available,managed,1
95,/property/95,,565,538,0:00:38,24,75.00%,19.47%,$0.00 ,ST BED,Ejipura,bengaluru,0,10900,available,marketplace,1
98,/property/98,,118,108,0:01:19,16,68.75%,34.75%,$0.00 ,Sobha City,Thanisandra,bengaluru,0,42000,available,marketplace,1
37,/property/37,,402,354,0:01:48,265,81.51%,66.42%,$0.00 ,The Grove,Sarjapur,bengaluru,0,51818,occupied,managed,1
104,/property/104,,193,180,0:01:00,11,72.73%,18.65%,$0.00 ,Chartered Samskruti,Banerghatta,bengaluru,0,31000,available,marketplace,1
204,/property/204,,60,56,0:01:04,6,66.67%,18.33%,$0.00 ,80 Trees Surya Shakti,Bellandur,bengaluru,0,39000,occupied,marketplace,1
125,/property/125,,163,153,0:00:45,9,77.78%,22.09%,$0.00 ,Malnad Arcade,kaggadaspura main road,bengaluru,0,18600,occupied,managed,1
278,/property/278,,294,285,0:01:13,22,36.36%,24.15%,$0.00 ,Parnakuti,Koramangala,bengaluru,0,90000,available,marketplace,1
81,/property/81,,101,94,0:00:41,4,100.00%,13.86%,$0.00 ,Golden Corner,Sarjapur Road,bengaluru,0,38000,partial,marketplace,1
136,/property/136,,30,29,0:00:49,0,0.00%,26.67%,$0.00 ,Esteem Enclave,Banerghatta Road,bengaluru,0,45000,partial,marketplace,1
141,/property/141,,120,116,0:00:38,4,75.00%,19.17%,$0.00 ,Mount N Glory,Kharadi,pune,0,43000,available,marketplace,1
85,/property/85,,50,48,0:00:49,0,0.00%,24.00%,$0.00 ,Prestige Park View,Whitefield,bengaluru,0,52000,available,marketplace,1
149,/property/149,,32,32,0:00:49,2,100.00%,15.62%,$0.00 ,Gulmohar Galaxy,Viman Nagar,pune,0,79000,blocked,marketplace,1
150,/property/150,,278,255,0:01:09,106,75.47%,52.52%,$0.00 ,Jasmanium F1,Magarpatta City,pune,0,47000,available,marketplace,1
134,/property/134,,529,272,0:00:18,64,37.50%,13.99%,$0.00 ,Ambedkar Nagar Villa,Whitefield,bengaluru,0,37000,blocked,marketplace,1
267,/property/267,,90,87,0:00:56,7,85.71%,32.22%,$0.00 ,Omega Paradise - 602,wakad,pune,0,35000,partial,marketplace,1
157,/property/157,,31,27,0:00:46,1,100.00%,22.58%,$0.00 ,Jasmanium G1,Magarpatta City,pune,0,47000,partial,marketplace,1
158,/property/158,,107,100,0:00:58,2,50.00%,21.50%,$0.00 ,Emerald Residency,Viman Nagar,pune,0,38000,occupied,managed,1
159,/property/159,,246,225,0:01:48,23,65.22%,33.74%,$0.00 ,Vars Casa Verde,1st main Pai Layout,bengaluru,0,30000,available,marketplace,1
152,/property/152,,73,61,0:00:37,5,20.00%,16.44%,$0.00 ,Keerthi Signature,Whitefield,bengaluru,0,40000,available,marketplace,1
129,/property/129,,51,48,0:01:47,12,100.00%,37.25%,$0.00 ,Kristal Jasper Park,Sarjapur road,bengaluru,0,42000,partial,marketplace,1
318,/property/318,,11,9,0:01:20,1,0.00%,9.09%,$0.00 ,Future Plaza,Sarjapur Main Road,bengaluru,0,30000,available,marketplace,1
174,/property/174,,15,15,0:00:10,3,66.67%,26.67%,$0.00 ,Prestige Ivy Terraces,Kadubeesanahalli,bengaluru,0,30000,blocked,marketplace,1
177,/property/177,,22,21,0:01:14,0,0.00%,22.73%,$0.00 ,Agastya Guru Palatia,Whitefield,bengaluru,0,0,available,marketplace,1
216,/property/216,,48,42,0:00:31,7,85.71%,31.25%,$0.00 ,"Daffodils, Magarpatta",Magarpatta,pune,0,28500,partial,marketplace,1
186,/property/186,,157,145,0:00:46,13,76.92%,16.56%,$0.00 ,Prestige Ivy Terraces,Kadubeesanahalli,bengaluru,0,46000,occupied,marketplace,1
194,/property/194,,216,194,0:01:32,46,84.78%,42.13%,$0.00 ,Fortune House,Kharadi,pune,0,19000,partial,marketplace,1
196,/property/196,,25,21,0:00:47,2,0.00%,4.00%,$0.00 ,Fortune House 1 bhk,Kharadi,pune,0,15000,blocked,marketplace,1
230,/property/230,,48,44,0:00:41,1,0.00%,22.92%,$0.00 ,Q-Homes,kharadi,pune,0,44000,available,marketplace,1
316,/property/316,,86,74,0:01:04,6,83.33%,27.91%,$0.00 ,Ganga Orchard,Koregaon Park Annex,pune,0,52000,available,managed,1
214,/property/214,,30,29,0:00:32,0,0.00%,23.33%,$0.00 ,Krishna Mystiq,Basapura,bengaluru,0,24000,occupied,marketplace,1
290,/property/290,,80,73,0:01:09,9,77.78%,27.50%,$0.00 ,Prestige Park View,Whitefield,bengaluru,0,30000,occupied,managed,1
224,/property/224,,463,425,0:01:13,39,66.67%,25.27%,$0.00 ,RR Residency,HSR Layout,bengaluru,0,46000,available,marketplace,1
231,/property/231,,125,111,0:01:46,7,71.43%,25.60%,$0.00 ,Ganga Orchards,mundhwa,pune,0,30000,partial,marketplace,1
234,/property/234,,283,237,0:00:33,12,75.00%,17.67%,$0.00 ,"JP Nagar Building No.408 , 1F",Jp Nagar 4th Phase,bengaluru,0,22000,partial,marketplace,1
237,/property/237,,878,757,0:01:39,593,78.75%,68.22%,$0.00 ,JP Nagar Building No.408 4F,Jp Nagar 4th Phase,bengaluru,0,22000,available,marketplace,1
238,/property/238,,630,573,0:01:37,365,80.27%,61.43%,$0.00 ,Krishna Mystiq,Basapura,bengaluru,0,24000,available,marketplace,1
282,/property/282,,140,115,0:01:12,15,46.67%,22.14%,$0.00 ,Shriram Summitt,Electronic City,bengaluru,0,28000,available,marketplace,1
258,/property/258,,220,199,0:01:47,114,80.70%,60.00%,$0.00 ,Bandhan Apartment,Kumaraswamy Layout,bengaluru,0,22000,available,marketplace,1
259,/property/259,,100,87,0:02:45,54,74.07%,56.00%,$0.00 ,Jayanagar 7th Block,Jayanagar 7th Block,bengaluru,0,40000,blocked,marketplace,1
261,/property/261,,457,397,0:02:12,285,77.89%,63.68%,$0.00 ,"Prestige Lakeside Habitat , 7225",Gunjur Village,bengaluru,0,30000,available,marketplace,1
264,/property/264,,468,421,0:01:59,302,76.82%,65.60%,$0.00 ,Prestige Casa Bella,Vittasandra,bengaluru,0,32000,available,marketplace,1
265,/property/265,,125,119,0:01:21,4,75.00%,24.00%,$0.00 ,Godrej Woodsman Estate,Hebbal,bengaluru,0,38000,partial,managed,1
288,/property/288,,100,87,0:01:24,16,68.75%,30.00%,$0.00 ,Prestige Sunrise Park Birchwood,Electronic City,bengaluru,0,25000,available,marketplace,1
270,/property/270,,376,332,0:01:59,198,78.28%,58.78%,$0.00 ,Reliaable Lifestyle Layout,Harlur,bengaluru,0,39000,available,marketplace,1
