id,name,property_id,room_id,propertyutil_id,value,details,created_at,updated_at
1,bed,1,1,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
2,wifi,1,1,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
3,studytablechair,1,1,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
4,carparking,1,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
5,lift,1,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
6,bed,1,2,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
7,wifi,1,2,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
8,studytablechair,1,2,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
9,bed,1,3,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
10,wifi,1,3,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
11,studytablechair,1,3,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
22,gym,2,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
23,lift,2,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
24,carparking,2,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
25,studytablechair,3,7,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
26,studytablechair,3,8,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
27,wifi,3,8,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
28,bed,3,8,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
29,wifi,3,7,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
33,wifi,4,10,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
34,wifi,4,11,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
35,wifi,4,12,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
36,bed,4,10,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
37,bed,4,11,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
38,bed,4,12,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
39,studytablechair,4,10,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
40,studytablechair,4,11,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
41,studytablechair,4,12,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
42,lift,4,0,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
43,gym,4,0,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
44,carparking,4,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
45,terracewalkway,4,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
46,wifi,3,9,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
47,bed,3,9,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
48,studytablechair,3,9,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
49,wifi,5,13,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
50,bed,5,14,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
51,studytablechair,5,15,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
52,wifi,5,14,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
53,bed,5,13,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
54,wifi,5,15,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
55,bed,5,15,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
56,studytablechair,5,13,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
57,studytablechair,5,14,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
61,swimmingpool,5,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
62,terracewalkway,2,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
71,livingroom,2,0,0,common,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
72,wardrobe,4,10,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
73,balcony,4,10,0,"10 x 3'",NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
74,sharedbathroom,4,10,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
75,wardrobe,4,11,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
76,balcony,4,11,0,"10 x 3'",NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
77,sharedbathroom,4,11,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
78,wardrobe,4,12,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
79,attachedbathroom,4,12,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
80,livingroom,4,0,0,shared,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
81,bed,6,16,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
82,studytablechair,6,16,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
86,wardrobe,6,16,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
87,attachedbathroom,6,16,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
88,bed,6,17,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
89,studytablechair,6,17,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
93,wardrobe,6,17,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
94,attachedbathroom,6,17,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
95,bed,6,18,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
96,studytablechair,6,18,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
100,wardrobe,6,18,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
101,attachedbathroom,6,18,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
116,balcony,6,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
117,livingroom,6,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
119,bed,7,21,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
120,studytablechair,7,21,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
121,wifi,7,21,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
124,wardrobe,7,21,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
125,attachedbathroom,7,21,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
126,bed,7,22,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
127,studytablechair,7,22,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
128,wifi,7,22,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
131,wardrobe,7,22,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
132,attachedbathroom,7,22,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
133,bed,7,23,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
134,studytablechair,7,23,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
135,wifi,7,23,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
138,wardrobe,7,23,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
139,attachedbathroom,7,23,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
140,bed,7,24,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
141,studytablechair,7,24,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
142,wifi,7,24,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
145,wardrobe,7,24,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
146,attachedbathroom,7,24,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
147,balcony,7,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
148,livingroom,7,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
150,bed,8,25,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
151,studytablechair,8,25,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
152,bed,8,26,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
153,studytablechair,8,26,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
155,clubhouse,8,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
156,bed,9,27,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
157,studytablechair,9,27,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
158,bed,9,28,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
159,studytablechair,9,28,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
161,clubhouse,9,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
162,swimmingpool,9,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
163,tenniscourt,9,0,0,,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
164,bed,3,7,0,1,NULL,"2016-05-01 09:30:00","2016-05-01 09:30:00"
165,gym,10,0,0,,NULL,"2016-04-14 20:33:30","2016-04-14 20:33:30"
166,carparking,10,0,0,,NULL,"2016-04-14 20:33:30","2016-04-14 20:33:30"
167,livingroom,10,0,0,1,NULL,"2016-04-14 20:33:30","2016-04-14 20:33:30"
168,attachedbathroom,10,29,0,,NULL,"2016-04-14 20:33:30","2016-04-14 20:33:30"
169,attachedbathroom,10,30,0,,NULL,"2016-04-14 20:33:30","2016-04-14 20:33:30"
170,attachedbathroom,10,31,0,,NULL,"2016-04-14 20:33:30","2016-04-14 20:33:30"
171,wardrobe,10,29,0,,NULL,"2016-04-14 20:33:30","2016-04-14 20:33:30"
172,wardrobe,10,30,0,,NULL,"2016-04-14 20:33:30","2016-04-14 20:33:30"
173,wardrobe,10,31,0,,NULL,"2016-04-14 20:33:30","2016-04-14 20:33:30"
174,dressingtable,10,29,0,,NULL,"2016-04-14 20:33:30","2016-04-14 20:33:30"
175,dressingtable,10,30,0,,NULL,"2016-04-14 20:33:30","2016-04-14 20:33:30"
176,balcony,10,30,0,"143 sft",NULL,"2016-04-14 20:33:30","2016-04-14 20:33:30"
177,sharedbathroom,1,1,0,,NULL,"2016-05-01 09:30:00",NULL
178,sharedbathroom,1,2,0,,NULL,"2016-05-01 09:30:00",NULL
179,attachedbathroom,1,3,0,,NULL,"2016-05-01 09:30:00",NULL
180,clubhouse,3,0,0,,NULL,"2016-05-01 09:30:00",NULL
181,tenniscourt,3,0,0,,NULL,"2016-05-01 09:30:00",NULL
182,swimmingpool,3,0,0,,NULL,"2016-05-01 09:30:00",NULL
183,wardrobe,1,1,0,,NULL,"2016-05-01 09:30:00",NULL
184,wardrobe,1,2,0,,NULL,"2016-05-01 09:30:00",NULL
185,wardrobe,1,3,0,,NULL,"2016-05-01 09:30:00",NULL
186,wardrobe,3,7,0,1,NULL,"2016-05-01 09:30:00",NULL
187,wardrobe,3,8,0,1,NULL,"2016-05-01 09:30:00",NULL
188,wardrobe,3,9,0,1,NULL,"2016-05-01 09:30:00",NULL
189,wardrobe,5,13,0,1,NULL,"2016-05-01 09:30:00",NULL
190,wardrobe,5,14,0,1,NULL,"2016-05-01 09:30:00",NULL
191,wardrobe,5,15,0,1,NULL,"2016-05-01 09:30:00",NULL
192,wifi,8,25,0,,NULL,"2016-05-01 09:30:00",NULL
193,wardrobe,8,25,0,1,NULL,"2016-05-01 09:30:00",NULL
194,wifi,8,26,0,,NULL,"2016-05-01 09:30:00",NULL
195,wardrobe,8,26,0,1,NULL,"2016-05-01 09:30:00",NULL
196,wifi,9,27,0,,NULL,"2016-05-01 09:30:00",NULL
197,wardrobe,9,27,0,1,NULL,"2016-05-01 09:30:00",NULL
198,wifi,9,28,0,,NULL,"2016-05-01 09:30:00",NULL
199,wardrobe,9,28,0,1,NULL,"2016-05-01 09:30:00",NULL
200,wifi,10,29,0,,NULL,"2016-05-01 09:30:00",NULL
201,bed,10,29,0,1,NULL,"2016-05-01 09:30:00",NULL
202,studytablechair,10,29,0,1,NULL,"2016-05-01 09:30:00",NULL
203,wifi,10,30,0,,NULL,"2016-05-01 09:30:00",NULL
204,bed,10,30,0,1,NULL,"2016-05-01 09:30:00",NULL
205,studytablechair,10,30,0,1,NULL,"2016-05-01 09:30:00",NULL
206,wifi,10,31,0,,NULL,"2016-05-01 09:30:00",NULL
207,bed,10,31,0,1,NULL,"2016-05-01 09:30:00",NULL
208,studytablechair,10,31,0,1,NULL,"2016-05-01 09:30:00",NULL
209,fridge,1,0,0,,NULL,"2016-05-01 09:30:00",NULL
210,washingmachine,1,0,0,,NULL,"2016-05-01 09:30:00",NULL
211,kitchen,1,0,0,,NULL,"2016-05-01 09:30:00",NULL
213,livingroom,1,0,0,,NULL,"2016-05-01 09:30:00",NULL
214,fridge,2,0,0,,NULL,"2016-05-01 09:30:00",NULL
215,washingmachine,2,0,0,,NULL,"2016-05-01 09:30:00",NULL
216,kitchen,2,0,0,,NULL,"2016-05-01 09:30:00",NULL
217,kitchencabinet,2,0,0,,NULL,"2016-05-01 09:30:00",NULL
223,fridge,4,0,0,,NULL,"2016-05-01 09:30:00",NULL
224,washingmachine,4,0,0,,NULL,"2016-05-01 09:30:00",NULL
225,kitchen,4,0,0,,NULL,"2016-05-01 09:30:00",NULL
226,kitchencabinet,4,0,0,,NULL,"2016-05-01 09:30:00",NULL
232,fridge,6,0,0,,NULL,"2016-05-01 09:30:00",NULL
233,washingmachine,6,0,0,,NULL,"2016-05-01 09:30:00",NULL
234,kitchen,6,0,0,,NULL,"2016-05-01 09:30:00",NULL
