id,Page,Removed,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
1,/property/1,,1,1,0:00:01,0,0.00%,0.00%,$0.00 
2,/property/2,,1,1,0:00:00,0,0.00%,100.00%,$0.00 
3,/property/3,,78,74,0:01:03,1,0.00%,14.10%,$0.00 
7,/property/7,,3,3,0:00:21,0,0.00%,0.00%,$0.00 
8,/property/8,,65,64,0:00:57,0,0.00%,18.46%,$0.00 
9,/property/9,,31,28,0:00:55,6,66.67%,41.94%,$0.00 
10,/property/10,,128,119,0:01:03,2,0.00%,21.09%,$0.00 
25,/property/25,,39,35,0:00:38,0,0.00%,10.26%,$0.00 
26,/property/26,,98,86,0:01:53,6,33.33%,17.35%,$0.00 
28,/property/28,,57,54,0:00:27,1,0.00%,17.54%,$0.00 
30,/property/30,,21,20,0:00:40,1,100.00%,14.29%,$0.00 
33,/property/33,,2,2,0:00:26,0,0.00%,0.00%,$0.00 
34,/property/34,,30,28,0:00:37,5,60.00%,26.67%,$0.00 
35,/property/35,,20,18,0:01:34,1,100.00%,30.00%,$0.00 
36,/property/36,,621,571,0:02:07,112,78.57%,42.51%,$0.00 
37,/property/37,,402,354,0:01:48,265,81.51%,66.42%,$0.00 
38,/property/38,,50,45,0:01:31,4,25.00%,32.00%,$0.00 
40,/property/40,,50,43,0:01:56,3,33.33%,24.00%,$0.00 
41,/property/41,,426,382,0:01:34,167,76.05%,46.24%,$0.00 
46,/property/46,,54,48,0:00:39,5,60.00%,29.63%,$0.00 
58,/property/58,,273,241,0:01:27,99,65.66%,40.66%,$0.00 
66,/home#/property/66,,4,4,0:00:00,3,100.00%,100.00%,$0.00 
80,/property/80,,73,67,0:00:49,3,33.33%,16.44%,$0.00 
81,/property/81,,101,94,0:00:41,4,100.00%,13.86%,$0.00 
85,/property/85,,50,48,0:00:49,0,0.00%,24.00%,$0.00 
88,/property/88,,216,89,<00:00:01,65,3.08%,8.33%,$0.00 
89,/property/89,,163,137,0:01:30,8,50.00%,17.79%,$0.00 
90,/property/90,,159,152,0:01:14,4,50.00%,22.64%,$0.00 
93,/property/93,,514,472,0:01:08,33,60.61%,19.26%,$0.00 
95,/property/95,,565,538,0:00:38,24,75.00%,19.47%,$0.00 
96,/property/96,,5,5,0:00:04,4,0.00%,0.00%,$0.00 
97,/property/97,,133,122,0:01:18,52,86.54%,47.37%,$0.00 
98,/property/98,,118,108,0:01:19,16,68.75%,34.75%,$0.00 
99,/property/99,,171,158,0:01:14,9,77.78%,19.30%,$0.00 
102,/property/102,,15,14,0:00:27,1,0.00%,20.00%,$0.00 
103,/property/103,,477,423,0:01:43,175,75.43%,44.03%,$0.00 
104,/property/104,,193,180,0:01:00,11,72.73%,18.65%,$0.00 
105,/property/105,,13,13,0:00:49,0,0.00%,38.46%,$0.00 
117,/property/117,,415,379,0:01:05,77,80.52%,29.88%,$0.00 
119,/property/119,,181,163,0:01:04,12,69.23%,12.15%,$0.00 
123,/property/123,,64,60,0:01:30,4,75.00%,42.19%,$0.00 
125,/property/125,,163,153,0:00:45,9,77.78%,22.09%,$0.00 
127,/property/127,,231,221,0:01:03,10,60.00%,22.51%,$0.00 
129,/property/129,,51,48,0:01:47,12,100.00%,37.25%,$0.00 
130,/property/130,,195,175,0:01:16,15,73.33%,23.08%,$0.00 
134,/property/134,,529,272,0:00:18,64,37.50%,13.99%,$0.00 
136,/property/136,,30,29,0:00:49,0,0.00%,26.67%,$0.00 
137,/property/137,,94,88,0:01:14,6,33.33%,25.53%,$0.00 
141,/property/141,,120,116,0:00:38,4,75.00%,19.17%,$0.00 
142,/property/142,,479,178,0:00:01,41,0.00%,5.22%,$0.00 
143,/property/143,,119,102,0:02:09,19,47.37%,23.53%,$0.00 
145,/property/145,,50,47,0:00:43,0,0.00%,12.00%,$0.00 
147,/property/147,,208,185,0:01:42,28,46.43%,23.56%,$0.00 
149,/property/149,,32,32,0:00:49,2,100.00%,15.62%,$0.00 
150,/property/150,,278,255,0:01:09,106,75.47%,52.52%,$0.00 
152,/property/152,,73,61,0:00:37,5,20.00%,16.44%,$0.00 
154,/property/154,,49,48,0:00:48,1,100.00%,30.61%,$0.00 
157,/property/157,,31,27,0:00:46,1,100.00%,22.58%,$0.00 
158,/property/158,,107,100,0:00:58,2,50.00%,21.50%,$0.00 
159,/property/159,,246,225,0:01:48,23,65.22%,33.74%,$0.00 
160,/property/160,,107,94,0:01:25,9,66.67%,26.17%,$0.00 
161,/property/161,,2,2,0:00:00,0,0.00%,0.00%,$0.00 
162,/property/162,,2,2,0:00:00,1,0.00%,0.00%,$0.00 
163,/property/163,,2,2,0:00:00,0,0.00%,0.00%,$0.00 
164,/property/164,,1,1,0:00:00,1,0.00%,0.00%,$0.00 
165,/property/165,,2,2,0:00:00,0,0.00%,0.00%,$0.00 
166,/property/166,,2,2,0:00:00,0,0.00%,0.00%,$0.00 
167,/property/167,,2,2,0:00:00,1,0.00%,0.00%,$0.00 
168,/property/168,,2,2,0:00:00,0,0.00%,0.00%,$0.00 
169,/property/169,,2,2,0:00:00,1,0.00%,0.00%,$0.00 
170,/property/170,,2,2,0:00:00,1,0.00%,0.00%,$0.00 
172,/property/172,,12,10,0:02:14,0,0.00%,25.00%,$0.00 
173,/property/173,,2,1,0:01:27,0,0.00%,0.00%,$0.00 
174,/property/174,,15,15,0:00:10,3,66.67%,26.67%,$0.00 
177,/property/177,,22,21,0:01:14,0,0.00%,22.73%,$0.00 
178,/property/178,,533,499,0:01:02,36,66.67%,17.45%,$0.00 
179,/property/179,,466,424,0:01:07,268,76.87%,58.58%,$0.00 
181,/property/181,,1,1,0:00:00,0,0.00%,0.00%,$0.00 
182,/property/182,,309,278,0:01:18,37,75.68%,29.13%,$0.00 
185,/property/185,,2,2,0:00:14,0,0.00%,0.00%,$0.00 
186,/property/186,,157,145,0:00:46,13,76.92%,16.56%,$0.00 
187,/property/187,,884,744,0:02:12,141,60.99%,26.02%,$0.00 
188,/property/188,,5,5,0:01:00,0,0.00%,0.00%,$0.00 
189,/property/189,,1,1,0:05:57,0,0.00%,0.00%,$0.00 
191,/property/191,,1,1,0:00:00,0,0.00%,100.00%,$0.00 
194,/property/194,,216,194,0:01:32,46,84.78%,42.13%,$0.00 
195,/property/195,,61,58,0:00:32,15,80.00%,34.43%,$0.00 
196,/property/196,,25,21,0:00:47,2,0.00%,4.00%,$0.00 
197,/property/197,,20,20,0:00:10,10,50.00%,40.00%,$0.00 
204,/property/204,,60,56,0:01:04,6,66.67%,18.33%,$0.00 
206,/property/206,,"2,424","2,099",0:01:22,"1,801",81.40%,75.37%,$0.00 
208,/property/208,,89,81,0:01:06,5,80.00%,20.22%,$0.00 
209,/property/209,,29,27,0:00:37,0,0.00%,13.79%,$0.00 
211,/property/211,,6,6,0:01:06,0,0.00%,0.00%,$0.00 
212,/property/212,,22,22,0:00:59,0,0.00%,18.18%,$0.00 
213,/property/213,,38,36,0:00:52,0,0.00%,21.05%,$0.00 
214,/property/214,,30,29,0:00:32,0,0.00%,23.33%,$0.00 
216,/property/216,,48,42,0:00:31,7,85.71%,31.25%,$0.00 
218,/property/218,,292,266,0:00:50,21,76.19%,20.89%,$0.00 
219,/property/219,,2,2,0:00:00,2,0.00%,0.00%,$0.00 
224,/property/224,,463,425,0:01:13,39,66.67%,25.27%,$0.00 
228,/property/228,,147,136,0:00:55,12,66.67%,20.41%,$0.00 
230,/property/230,,48,44,0:00:41,1,0.00%,22.92%,$0.00 
231,/property/231,,125,111,0:01:46,7,71.43%,25.60%,$0.00 
232,/property/232,,8,8,0:00:16,1,100.00%,12.50%,$0.00 
234,/property/234,,283,237,0:00:33,12,75.00%,17.67%,$0.00 
235,/property/235,,92,90,0:00:38,7,100.00%,21.74%,$0.00 
236,/property/236,,38,38,0:03:35,4,100.00%,39.47%,$0.00 
237,/property/237,,878,757,0:01:39,593,78.75%,68.22%,$0.00 
238,/property/238,,630,573,0:01:37,365,80.27%,61.43%,$0.00 
