id,owner_id,locality,city,sqftsuper,type,totalrooms,rent,status,latitude,longitude,gender,tag_as
1,442,Ulsoor,bengaluru,1800,flat,3,31800,blocked,12.976728,77.625949,1,managed
2,120,Whitefield,bengaluru,450,flat,0,12000,blocked,12.963743,77.732867,0,managed
3,348,Koramangala,bengaluru,510,flat,2,42469,available,12.928373,77.631766,1,managed
4,120,Whitefield,bengaluru,1450,flat,3,12000,blocked,12.963745,77.732865,0,managed
5,352,Bellandur,bengaluru,510,flat,3,40793,available,12.916868,77.690241,1,managed
6,805,Bellandur,bengaluru,2400,flat,4,51000,occupied,12.918846,77.689174,1,managed
7,798,Devanahalli,bengaluru,3755,flat,4,30900,occupied,13.204987,77.639311,1,managed
8,7,HSR Layout,bengaluru,1305,flat,3,26000,occupied,12.9152649,77.6591148,1,managed
9,797,Sarjapur Main Road,bengaluru,336,flat,2,23590,blocked,12.918184,77.669517,1,managed
10,292,Mahadevapura,bengaluru,1565,flat,3,34729,occupied,12.978776,77.696805,1,managed
11,773,Whitefield,bengaluru,2400,flat,4,40600,blocked,13.020816,77.761856,1,managed
13,773,Whitefield,bengaluru,2400,flat,4,40600,blocked,13.020816,77.761856,2,managed
17,120,Horamavu,bengaluru,1000,flat,2,40000,blocked,13.020175,77.66657,1,managed
18,351,Whitefield,bengaluru,2400,flat,4,24000,blocked,13.020816,77.761856,0,marketplace
20,1058,Electronic City,bengaluru,2050,villa,3,20000,blocked,12.830007,77.708026,0,marketplace
21,120,"Ashok Nagar, Kandivali East",pune,1100,flat,2,49800,blocked,19.198124,72.854266,0,managed
22,120,Electronic City,bengaluru,1609,flat,3,0,blocked,,,0,managed
23,804,Sarjapur Main Road,bengaluru,1920,flat,3,69700,blocked,12.918245,77.66948,1,marketplace
25,800,Manyata Tech Park,bengaluru,2050,flat,3,23031,occupied,13.066772,77.625197,1,managed
26,772,Mahadevapura,bengaluru,1570,flat,3,32414,available,12.978776,77.696805,1,managed
27,120,Wagholi,pune,865,flat,2,11000,blocked,18.585016,73.96996,0,managed
28,349,Sarjapur Main Road,bengaluru,1925,flat,3,43000,partial,12.910867,77.682427,1,managed
29,347,Dundahera,noida_ghaziabad,1029,flat,3,12580,partial,28.628851,77.436819,1,managed
30,2125,Thyvakanahally,bengaluru,4500,villa,5,35000,blocked,12.834246,77.782726,2,marketplace
31,120,Horamavu,bengaluru,1200,flat,2,25000,blocked,13.019774,77.666491,1,managed
32,120,Wakad,pune,1346,flat,2,21500,blocked,18.590896,73.760496,0,managed
33,878,Electronic City,bengaluru,1230,flat,3,29700,blocked,12.78411,77.657984,2,marketplace
