id,owner_id,name,flat_no,addressl1,locality,city,state,country,zipcode,sqftsuper,image,images,type,sharetype,baths,kitchens,washrooms,totalrooms,availrooms,rent,owner_rent,parkingcharges,deposite,maintenance,status,availfrom,availto,tenure,details,notes,cntrestaurants,cnthospitals,cntgyms,cnttheater,cntmalls,workdistance,latitude,longitude,blockname,gender,tag_as,commpercentage,tds,actualOSAmount,pendingOSAmount,amountRemark,minimumGuranteeIsActive,minimumGuranteeAmount,minimumGuranteeStart,minimumGuranteeEnd,propertyrules,parking_number,metatitle,metakeyword,metadescription,assign_to,golden,partner,showinhomepage,created_at,updated_at,owner_id2,owner_id3
1,442,"VS Willows, Ulsoor",405,"#8, RK Mutt Road",Ulsoor,bengaluru,karnataka,india,560008,1800,0,,flat,0,2,1,0,3,0,31800,30000,1500,100000,0,blocked,2016-04-01,2017-02-28,11,"M G Road, the main artery of Bangalore and home to important offices, restaurants and shopping centres, is walking distance away from our delightful apartments  at V S Willows Ulsoor. It is situated next to the Ulsoor Metro station.Ulsoor one of the earliest areas developed in Bangalore, with the beautiful and picturesque Ulsoor lake, has traditionally been a residential hot spot .Flanked by several important thoroughfares like 100 feet road Indiranagar, CMH road, Old Madras road and Cambridge road, it is centrally located with easy access to malls such as the Lido mall, UB city etc.Our rooms in these apartments are furnished tastefully in our trademark style with all basic amenities in place.",,20,20,20,1,20,0,12.976728,77.625949,VS Willows,1,managed,,,,,,notactive,,,,,,,,,,0,0,0,2016-4-21 4:00,2018-9-22 0:10,,
2,120,"SV Mayfair, Nallurahalli Main Rd blocked",9,"65/8A, Nallurahalli Rd, Siddapura, Whitefield",Whitefield,bengaluru,karnataka,india,560066,450,0,,flat,0,2,1,0,0,0,12000,,0,36000,0,blocked,2016-11-03,2017-11-03,11,"Our rooms at SV Mayfair apartments, centrally located in Whitefield are cosy,well lit and tastefully furnished.The close proximity of tech parks like ITPL, EPIP and Sigma, MNCs like SAP, Tesco, Oracle,HLL,GE and TCS and malls like the Forum value mall and Phoenix market city make these plush gated community apartments, very sought after for the urban youth.With theatres, art galleries, glitzy malls and restaurants galore, Whitefield today is one of the most happening locations in Bangalore.Extensive city connectivity by BMTC and the presence of several tech parks and MNCs have added to the allure of this place.",,20,13,10,0,7,0,12.963743,77.732867,SV Mayfair,0,managed,,,,,,notactive,,,,,,,,,,0,0,0,2016-4-21 4:00,2019-7-7 0:10,,
3,348,Raheja Residency,307,"Near Wipro Park, Behind flipkart, koramangala (kormangala)",Koramangala,bengaluru,karnataka,india,560034,510,0,,flat,0,2,1,0,2,3,42469,42469,0,0,0,available,2018-06-01,2020-04-01,22,"Raheja Residency apartments is an upscale residential complex situated at the heart of Koramangala and is the start-up capital of India. Home to some of the best malls, restaurants, theatres and pubs in the city, Koramangala is one of the most happening suburbs in Bangalore today. Centrally located within Koramangala, Raheja Residency is thus a very sought after residential address. This posh condominium is conveniently located for people who work in any of the MNCs along the inner ring road like Dell, IBM, Lenovo, Microsoft etc. as well as for those who work in the large number of IT companies in Embassy Golf Links. It is also well connected to Electronic City, Whitefield and MG Road. Our rooms in this delightful complex, are furnished elegantly and tenants can enjoy all the amenities that this complex has to offer like club house, gym, a swimming pool etc. ",,20,20,20,1,20,0,12.928373,77.631766,G,1,managed,0,10,0,0,,notactive,0,1970-01-01,1970-01-01,,,,,,,0,0,0,2016-4-21 4:00,2019-7-22 14:17,,
4,120,"SV Mayfair, Nallurahalli Main Rd",210,"65/8A, Nallurahalli Rd, Siddapura, Whitefield",Whitefield,bengaluru,karnataka,india,560066,1450,0,,flat,0,2,1,0,3,0,12000,,1500,36000,0,blocked,2016-11-03,2017-11-03,6,"Our rooms at SV Mayfair apartments, centrally located in Whitefield are cosy,well lit and tastefully furnished.The close proximity of tech parks like ITPL, EPIP and Sigma, MNCs like SAP, Tesco, Oracle,HLL,GE and TCS and malls like the Forum value mall and Phoenix market city make these plush gated community apartments, very sought after for the urban youth.With theatres, art galleries, glitzy malls and restaurants galore, Whitefield today is one of the most happening locations in Bangalore.Extensive city connectivity by BMTC and the presence of several tech parks and MNCs have added to the allure of this place.",,20,13,10,0,7,0,12.963745,77.732865,A,0,managed,,,,,,notactive,,,,,,,,,,0,0,0,2016-4-21 4:00,2019-7-7 0:10,,
5,352,"Adarsh Palm Retreat, T 3",B-302,"B302, T3 Daffodills, Bellandur",Bellandur,bengaluru,karnataka,india,560103,510,0,,flat,0,3,0,0,3,3,40793,40793,0,105000,0,available,2017-04-01,2020-01-01,11,"Located on Outer Ring Road between Sarjapur Road and Marathalli, in close proximity to MNCs like Intel, CISCO, J P Morgan, Accenture, Cap Gemini Honeywell, Inmobi, Amadeus and Wipro, and hubs like Ecospace, Prestige tech park, Adarsh Palm Retreat is a centrally located, plush and green gated community with all amenities.Our rooms in this delightful residential community, are furnished with tastefully done adequate wood work, furniture and appliances.",,20,11,10,0,16,0,12.916868,77.690241,B,1,managed,0,31.2,0,0,,notactive,0,1970-01-01,1970-01-01,,,,,,,1,0,0,2016-4-21 4:00,2019-7-4 0:10,,
6,805,"Adarsh Palm Retreat, T 4",A-102,"A 102,T4 Bogenaville, Bellandur",Bellandur,bengaluru,karnataka,india,560103,2400,0,,flat,0,4,1,0,4,0,51000,45000,0,153000,0,occupied,2018-05-31,2020-03-01,22,"Located on Outer Ring Road between Sarjapur Road and Marathalli, in close proximity to MNCs like Intel, CISCO, J P Morgan, Accenture, Cap Gemini Honeywell, Inmobi, Amadeus and Wipro, and hubs like Ecospace, Prestige tech park, Adarsh Palm Retreat is a centrally located, plush and green gated community with all amenities.Our rooms in this delightful residential community, are furnished with tastefully done adequate wood work, furniture and appliances.",,20,14,9,0,19,0,12.918846,77.689174,A,1,managed,0,10,0,0,,notactive,0,1970-01-01,1970-01-01,,,,,,,1,0,0,2019-6-21 4:00,2019-7-6 0:10,,
7,798,"Mulberry Meadows Villa, Devanahalli",32,"Mulberry Meadows Villa, Devanahalli",Devanahalli,bengaluru,karnataka,india,562110,3755,0,,flat,0,4,1,0,4,0,30900,30900,0,0,3660,occupied,2016-05-01,2020-02-01,22,"Dedicated : Semi Furnished Bedroom with wardrobes . Shared : living, dining, kitchen and balcony.",,4,0,0,0,0,0,13.204987,77.639311,Mulberry Meadows,1,managed,0,10,0,0,,notactive,0,1970-01-01,1970-01-01,,,,,,,0,0,0,2016-4-21 4:00,2019-6-28 15:32,,
8,7,Purva Sunshine,A-603,"SA 603, Purva Sunshine, Sarjapur Road / HSR / HSR Layout",HSR Layout,bengaluru,karnataka,india,560035,1305,0,,flat,0,2,1,0,3,3,26000,26000,0,100000,0,occupied,2018-01-01,2020-12-01,24,"Purva Sunshine by Puravankara Projects Ltd. is one of the popular residential project on Sarjapur Road, Bangalore a preferred location bestowed with all amenities that go with your dream lifestyle. In close proximity to the best of healthcare and educational institutions and finest malls and within a radius of 5KM from MNCs like Intel, CISCO, J P Morgan, Accenture, Cap Gemini Honeywell, Inmobi, Amadeus and Wipro, and hubs like Ecospace, Prestige tech park.",,20,13,20,0,15,0,12.9152649,77.6591148,Purva Sunshine,1,managed,0,10,0,0,,notactive,0,1970-01-01,1970-01-01,,,,,,,0,0,0,2016-4-21 4:00,2019-7-10 0:10,,
9,797,Springfields,F-704,"19/20 Ambalipura, Near Bellandur Gate, Sarjapura Main Road",Sarjapur Main Road,bengaluru,karnataka,india,560102,336,0,,flat,0,2,1,0,2,1,23590,28000,0,70770,0,blocked,2018-11-01,2019-03-31,11,2 Rooms (Fully Furnished) in Springfields (7th floor) @ Sarjapur Road (Rs. 19 k). ,,20,20,20,0,20,0,12.918184,77.669517,F,1,managed,0,10,0,0,,notactive,0,1970-01-01,1970-01-01,,,,,,,0,0,0,2016-4-21 4:00,2019-4-12 18:21,,
10,292,Vars Jacaranda,303,"Ferns city Road, Doddanekundi, Kartik Nagar, Mahadevapura, Marathahalli",Mahadevapura,bengaluru,karnataka,india,560048,1565,0,,flat,0,3,1,0,3,0,34729,34729,0,90000,3000,occupied,2018-03-31,2020-01-15,11,"Mahadevapura is a centrally located bustling suburb of Bangalore today just off Marathalli junction. It’s close proximity to HAL Airport, Whitefield and Sarjapur Road  and the presence of the Outer Ring Road, has resulted in this area being transformed into a self-sufficient township with a number of residential complexes and IT companies making their appearance.Vars Jacaranda is one such conveniently located apartment complex with all amenities, close to places like the EMC Corporation, Mphasis IronMountain and Bagmane World Technology Centre.Our bright and cheerful apartments in this complex are made more attractive with elegant furnishings, fittings and appliances.",,20,12,16,2,19,0,12.978776,77.696805,B,1,managed,0,31.2,0,0,,notactive,0,1970-01-01,1970-01-01,,,,,,,0,0,0,2016-4-21 4:00,2019-7-18 0:10,,
