id,property_id,room_id,util_type,area,windows,plugpoints,lights,tubelights,fans,showbulbs,balconylights,created_at,updated_at
1,46,0,kitchen,80,1,1,1,1,1,1,1,"2016-11-07 22:38:20","2017-07-12 19:40:45"
2,46,0,bathroom,0,0,0,0,0,0,0,0,"2016-11-07 22:38:20","2017-02-20 19:11:43"
3,46,122,bathroom,30,1,2,1,1,1,0,0,"2016-11-07 22:38:21","2016-11-07 22:38:21"
4,46,123,bathroom,30,1,3,1,0,0,0,0,"2016-11-07 22:38:21","2016-11-07 22:38:21"
5,46,124,bathroom,30,1,2,1,0,0,0,0,"2016-11-07 22:38:21","2016-11-07 22:38:21"
6,47,0,kitchen,1,1,1,1,1,1,1,1,"2016-11-08 19:57:23","2017-12-14 18:45:17"
7,47,0,commonwashroom,1,1,1,1,1,1,1,1,"2016-11-08 19:57:23","2018-04-13 18:16:16"
8,47,125,bathroom,40,1,2,1,0,0,0,0,"2016-11-08 19:57:23","2016-11-08 19:57:23"
9,47,126,bathroom,35,1,2,1,0,0,0,0,"2016-11-08 19:57:23","2016-11-08 19:57:23"
12,51,0,commonarea,350,3,2,1,1,0,2,0,"2016-11-15 18:59:59","2016-11-15 18:59:59"
13,51,0,bathroom,0,0,0,0,0,0,0,0,"2016-11-15 18:59:59","2016-12-26 11:41:11"
14,52,0,kitchen,60,1,1,1,1,1,1,1,"2016-11-20 12:26:32","2016-12-25 17:08:39"
15,52,0,bathroom,40,0,0,0,0,0,0,0,"2016-11-20 12:26:32","2016-12-25 17:08:39"
16,52,132,bathroom,40,1,2,1,0,0,0,0,"2016-11-20 12:26:32","2016-11-20 12:26:32"
17,52,133,bathroom,80,1,2,2,0,0,0,0,"2016-11-20 12:26:32","2016-11-20 12:26:32"
18,43,0,commonarea,300,0,0,0,0,0,0,0,"2016-11-27 20:01:24","2016-11-27 20:01:24"
19,43,0,kitchen,100,0,0,0,0,0,0,0,"2016-11-27 20:01:24","2016-11-27 20:01:24"
20,43,0,bathroom,100,0,0,0,0,0,0,0,"2016-11-27 20:01:25","2016-11-27 20:01:25"
21,43,114,bathroom,180,0,0,0,0,0,0,0,"2016-11-27 20:01:25","2016-11-27 20:01:25"
22,43,116,bathroom,180,0,0,0,0,0,0,0,"2016-11-27 20:01:25","2016-11-27 20:01:25"
23,43,117,bathroom,180,0,0,0,0,0,0,0,"2016-11-27 20:01:25","2016-11-27 20:01:25"
24,17,0,commonarea,200,0,0,0,0,0,0,0,"2016-11-30 07:52:45","2016-11-30 07:52:45"
25,17,0,kitchen,80,0,0,0,0,0,0,0,"2016-11-30 07:52:45","2016-11-30 07:52:45"
26,17,0,bathroom,70,0,0,0,0,0,0,0,"2016-11-30 07:52:45","2016-11-30 07:52:45"
27,17,40,bathroom,70,0,0,0,0,0,0,0,"2016-11-30 07:52:45","2016-11-30 07:52:45"
28,17,41,bathroom,70,0,0,0,0,0,0,0,"2016-11-30 07:52:45","2016-11-30 07:52:45"
29,42,0,commonarea,80,0,0,0,0,0,0,0,"2016-12-02 05:28:21","2016-12-02 05:28:21"
30,42,0,kitchen,70,0,0,0,0,0,0,0,"2016-12-02 05:28:21","2016-12-02 05:28:21"
31,42,0,bathroom,70,0,0,0,0,0,0,0,"2016-12-02 05:28:21","2016-12-02 05:28:21"
32,42,106,bathroom,80,0,0,0,0,0,0,0,"2016-12-02 05:28:21","2016-12-02 05:28:21"
33,42,107,bathroom,70,0,0,0,0,0,0,0,"2016-12-02 05:28:21","2016-12-02 05:28:21"
34,42,108,bathroom,70,0,0,0,0,0,0,0,"2016-12-02 05:28:22","2016-12-02 05:28:22"
35,36,0,commonarea,300,0,0,0,0,0,0,0,"2016-12-04 09:50:15","2016-12-04 09:50:15"
36,36,0,kitchen,100,0,0,0,0,0,0,0,"2016-12-04 09:50:15","2016-12-04 09:50:15"
37,36,0,bathroom,80,0,0,0,0,0,0,0,"2016-12-04 09:50:15","2016-12-04 09:50:15"
38,36,89,bathroom,80,0,0,0,0,0,0,0,"2016-12-04 09:50:15","2016-12-04 09:50:15"
39,36,90,bathroom,80,0,0,0,0,0,0,0,"2016-12-04 09:50:15","2016-12-04 09:50:15"
40,36,91,bathroom,80,0,0,0,0,0,0,0,"2016-12-04 09:50:15","2016-12-04 09:50:15"
41,54,0,kitchen,72,1,4,1,0,0,0,1,"2016-12-05 11:05:51","2017-03-23 11:43:42"
42,54,0,commonwashroom,0,0,0,0,0,0,0,0,"2016-12-05 11:05:51","2018-03-23 10:52:16"
43,54,134,bathroom,33,1,1,0,0,0,0,0,"2016-12-05 11:05:51","2016-12-05 14:12:10"
44,54,135,bathroom,30,1,1,0,0,0,0,0,"2016-12-05 11:05:51","2016-12-05 14:12:10"
45,54,0,commonarea,80,0,4,1,2,3,5,1,"2016-12-05 13:48:42","2017-03-23 11:43:42"
46,54,136,bathroom,37,1,1,1,0,0,0,0,"2016-12-05 14:22:31","2016-12-05 14:22:31"
47,55,0,storeroom,1,1,1,1,1,1,1,1,"2016-12-06 03:26:05","2018-04-12 17:14:27"
48,55,0,commonwashroom,0,0,0,0,0,0,0,0,"2016-12-06 03:26:05","2018-04-12 13:12:42"
49,55,137,bathroom,40,1,1,1,0,0,0,0,"2016-12-06 03:26:05","2016-12-06 03:37:05"
50,55,138,bathroom,48,1,1,0,0,0,0,0,"2016-12-06 03:26:05","2016-12-06 03:26:05"
51,55,139,bathroom,48,1,1,0,0,0,0,0,"2016-12-06 03:26:05","2016-12-06 03:26:05"
52,40,0,commonarea,80,0,0,0,0,0,0,0,"2016-12-08 07:35:29","2016-12-08 07:35:29"
53,40,0,kitchen,70,0,0,0,0,0,0,0,"2016-12-08 07:35:29","2016-12-08 07:35:29"
54,40,0,bathroom,70,0,0,0,0,0,0,0,"2016-12-08 07:35:29","2016-12-08 07:35:29"
55,40,101,bathroom,70,0,0,0,0,0,0,0,"2016-12-08 07:35:29","2016-12-08 07:35:29"
56,40,102,bathroom,70,0,0,0,0,0,0,0,"2016-12-08 07:35:29","2016-12-08 07:35:29"
57,35,0,commonarea,200,0,0,0,0,0,0,0,"2016-12-08 19:43:41","2016-12-08 19:43:41"
58,35,0,storeroom,0,0,0,0,0,0,0,0,"2016-12-08 19:43:41","2018-06-09 17:51:38"
59,35,0,commonwashroom,0,0,0,0,0,0,0,0,"2016-12-08 19:43:41","2018-05-18 16:44:34"
60,35,87,bathroom,40,0,0,0,0,0,0,0,"2016-12-08 19:43:41","2016-12-08 19:43:41"
61,35,88,bathroom,40,0,0,0,0,0,0,0,"2016-12-08 19:43:41","2016-12-08 19:43:41"
62,33,0,commonarea,200,0,0,0,0,0,0,0,"2016-12-08 19:45:53","2016-12-08 19:45:53"
63,33,0,kitchen,80,0,0,0,0,0,0,0,"2016-12-08 19:45:53","2016-12-08 19:45:53"
64,33,0,bathroom,40,0,0,0,0,0,0,0,"2016-12-08 19:45:53","2016-12-08 19:45:53"
65,33,81,bathroom,40,0,0,0,0,0,0,0,"2016-12-08 19:45:54","2016-12-08 19:45:54"
66,33,82,bathroom,40,0,0,0,0,0,0,0,"2016-12-08 19:45:54","2016-12-08 19:45:54"
67,33,83,bathroom,40,0,0,0,0,0,0,0,"2016-12-08 19:45:54","2016-12-08 19:45:54"
68,34,0,commonarea,200,0,0,0,0,0,0,0,"2016-12-08 19:47:10","2016-12-08 19:47:10"
69,34,0,kitchen,80,0,0,0,0,0,0,0,"2016-12-08 19:47:10","2016-12-08 19:47:10"
70,34,0,bathroom,40,0,0,0,0,0,0,0,"2016-12-08 19:47:11","2016-12-08 19:47:11"
71,34,84,bathroom,40,0,0,0,0,0,0,0,"2016-12-08 19:47:11","2016-12-08 19:47:11"
72,34,85,bathroom,40,0,0,0,0,0,0,0,"2016-12-08 19:47:11","2016-12-08 19:47:11"
73,34,86,bathroom,40,0,0,0,0,0,0,0,"2016-12-08 19:47:12","2016-12-08 19:47:12"
74,56,0,storeroom,1,1,1,1,1,1,1,1,"2016-12-16 10:32:58","2018-05-14 16:40:09"
75,56,0,commonwashroom,0,0,0,0,0,0,0,0,"2016-12-16 10:32:58","2018-03-16 13:19:42"
76,56,140,bathroom,39,1,1,1,0,0,0,0,"2016-12-16 10:32:58","2016-12-16 10:32:58"
77,56,141,bathroom,44,1,1,1,0,0,0,0,"2016-12-16 10:32:58","2016-12-16 10:32:58"
78,56,142,bathroom,39,1,1,1,0,0,0,0,"2016-12-16 10:32:58","2016-12-16 10:32:58"
79,56,143,bathroom,44,1,1,1,0,0,0,0,"2016-12-16 10:32:58","2016-12-16 10:32:58"
80,49,0,commonarea,250,0,0,0,0,0,0,0,"2016-12-16 11:32:46","2016-12-16 11:32:46"
81,49,0,kitchen,80,0,0,0,0,0,0,0,"2016-12-16 11:32:47","2016-12-16 11:32:47"
82,49,0,bathroom,40,0,0,0,0,0,0,0,"2016-12-16 11:32:47","2016-12-16 11:32:47"
83,49,130,bathroom,40,0,0,0,0,0,0,0,"2016-12-16 11:32:47","2016-12-16 11:32:47"
84,56,0,poojaroom,1,1,1,1,1,1,1,1,"2016-12-16 12:04:15","2018-05-14 16:45:36"
85,57,0,kitchen,100,0,0,0,0,0,0,0,"2016-12-23 20:10:43","2017-07-29 14:43:24"
86,57,0,bathroom,0,0,0,0,0,0,0,0,"2016-12-23 20:10:43","2016-12-23 20:16:17"
87,57,144,bathroom,40,1,2,1,0,1,0,0,"2016-12-23 20:10:43","2016-12-23 20:10:43"
88,57,146,bathroom,35,1,2,1,0,0,0,0,"2016-12-23 20:10:43","2016-12-23 20:10:43"
89,57,145,bathroom,0,0,0,0,0,0,0,0,"2016-12-23 20:16:17","2016-12-23 20:16:17"
90,57,0,commonarea,120,1,2,2,0,2,0,0,"2016-12-23 21:57:45","2016-12-23 21:57:45"
91,38,0,commonarea,120,0,0,0,0,0,0,0,"2016-12-23 22:00:55","2016-12-23 22:00:55"
92,38,0,kitchen,40,0,0,0,0,0,0,0,"2016-12-23 22:00:55","2016-12-23 22:00:55"
93,38,0,bathroom,0,0,0,0,0,0,0,0,"2016-12-23 22:00:55","2016-12-23 22:00:55"
94,38,96,bathroom,40,0,0,0,0,0,0,0,"2016-12-23 22:00:55","2016-12-23 22:00:55"
95,38,97,bathroom,40,0,0,0,0,0,0,0,"2016-12-23 22:00:56","2016-12-23 22:00:56"
96,38,98,bathroom,40,0,0,0,0,0,0,0,"2016-12-23 22:00:56","2016-12-23 22:00:56"
97,52,0,commonarea,200,2,0,0,0,0,0,0,"2016-12-25 17:08:39","2016-12-25 17:08:39"
98,52,147,bathroom,40,0,0,0,0,0,0,0,"2016-12-25 17:10:41","2016-12-25 17:10:41"
99,52,148,bathroom,40,0,0,0,0,0,0,0,"2016-12-25 17:12:10","2016-12-25 17:12:10"
100,51,131,bathroom,120,0,0,0,0,0,0,0,"2016-12-26 11:41:11","2016-12-26 11:41:11"
101,30,0,commonarea,70,0,0,0,0,0,0,0,"2016-12-26 11:43:18","2016-12-26 11:43:18"
102,30,0,kitchen,80,0,0,0,0,0,0,0,"2016-12-26 11:43:18","2016-12-26 11:43:18"
103,30,0,bathroom,80,0,0,0,0,0,0,0,"2016-12-26 11:43:18","2016-12-26 11:43:18"
104,30,109,bathroom,70,0,0,0,0,0,0,0,"2016-12-26 11:43:18","2016-12-26 11:43:18"
105,30,110,bathroom,70,0,0,0,0,0,0,0,"2016-12-26 11:43:19","2016-12-26 11:43:19"
106,30,111,bathroom,70,0,0,0,0,0,0,0,"2016-12-26 11:43:19","2016-12-26 11:43:19"
107,30,112,bathroom,70,0,0,0,0,0,0,0,"2016-12-26 11:43:19","2016-12-26 11:43:19"
108,30,113,bathroom,70,0,0,0,0,0,0,0,"2016-12-26 11:43:19","2016-12-26 11:43:19"
109,11,0,commonarea,200,0,0,0,0,0,0,0,"2016-12-29 12:35:29","2016-12-29 12:35:29"
110,11,0,kitchen,80,0,0,0,0,0,0,0,"2016-12-29 12:35:29","2016-12-29 12:35:29"
111,11,0,bathroom,40,0,0,0,0,0,0,0,"2016-12-29 12:35:29","2016-12-29 12:35:29"
112,11,32,bathroom,40,0,0,0,0,0,0,0,"2016-12-29 12:35:30","2016-12-29 12:35:30"
113,11,33,bathroom,40,0,0,0,0,0,0,0,"2016-12-29 12:35:30","2016-12-29 12:35:30"
114,11,34,bathroom,40,0,0,0,0,0,0,0,"2016-12-29 12:35:30","2016-12-29 12:35:30"
115,11,35,bathroom,40,0,0,0,0,0,0,0,"2016-12-29 12:35:30","2016-12-29 12:35:30"
116,52,149,bathroom,40,0,0,0,0,0,0,0,"2016-12-30 18:43:30","2016-12-30 18:43:30"
117,58,0,kitchen,80,1,5,1,0,0,0,0,"2017-01-06 17:07:48","2017-01-06 17:17:19"
118,58,0,commonwashroom,0,0,0,0,0,0,0,0,"2017-01-06 17:07:48","2018-03-14 20:23:40"
119,58,150,bathroom,43,1,2,1,0,0,0,0,"2017-01-06 17:07:48","2017-01-06 17:07:48"
120,58,151,bathroom,43,1,2,1,0,0,0,0,"2017-01-06 17:07:48","2017-01-06 17:07:48"
121,58,152,bathroom,43,1,2,1,0,0,0,0,"2017-01-06 17:07:48","2017-01-06 17:07:48"
122,58,0,commonarea,260,2,5,2,2,2,0,1,"2017-01-06 17:17:19","2017-01-06 17:17:19"
123,55,0,commonarea,90,0,0,0,0,0,0,0,"2017-01-10 08:05:00","2017-01-10 08:05:00"
124,61,0,storeroom,1,1,1,1,1,1,1,1,"2017-01-19 19:59:37","2018-04-02 13:27:32"
125,61,0,commonwashroom,1,1,1,1,1,1,1,1,"2017-01-19 19:59:37","2018-04-02 13:27:04"
126,61,153,bathroom,40,1,1,1,0,0,0,0,"2017-01-19 19:59:37","2017-01-19 21:12:33"
127,61,0,poojaroom,0,0,0,0,0,0,0,0,"2017-01-19 20:40:05","2018-04-02 15:47:33"
128,61,154,bathroom,40,1,2,1,0,0,0,0,"2017-01-19 20:47:48","2017-01-19 21:12:33"
129,61,155,bathroom,32,1,0,1,0,0,0,0,"2017-01-19 21:12:34","2017-01-19 21:12:34"
130,61,156,bathroom,32,1,0,1,0,0,0,0,"2017-01-19 21:13:32","2017-01-19 21:13:32"
131,37,0,commonarea,300,0,0,0,0,0,0,0,"2017-01-20 21:53:25","2017-01-20 21:53:25"
132,37,0,kitchen,80,0,0,0,0,0,0,0,"2017-01-20 21:53:25","2017-01-20 21:53:25"
133,37,0,bathroom,32,0,0,0,0,0,0,0,"2017-01-20 21:53:25","2017-01-20 21:53:25"
134,37,92,bathroom,40,0,0,0,0,0,0,0,"2017-01-20 21:53:25","2017-01-20 21:53:25"
135,37,93,bathroom,80,0,0,0,0,0,0,0,"2017-01-20 21:53:25","2017-01-20 21:53:25"
136,37,94,bathroom,40,0,0,0,0,0,0,0,"2017-01-20 21:53:26","2017-01-20 21:53:26"
137,37,95,bathroom,40,0,0,0,0,0,0,0,"2017-01-20 21:53:26","2017-01-20 21:53:26"
138,62,0,kitchen,100,2,2,2,0,0,0,0,"2017-02-11 15:53:39","2017-02-11 16:11:11"
