id,count
187,14
180,11
203,7
117,6
89,4
257,4
5,3
26,3
58,3
99,3
103,3
126,3
201,3
206,3
208,3
233,3
243,3
312,3
6,2
36,2
40,2
41,2
93,2
97,2
108,2
119,2
123,2
130,2
143,2
147,2
160,2
178,2
179,2
182,2
183,2
200,2
218,2
239,2
260,2
274,2
303,2
3,1
9,1
25,1
34,1
35,1
37,1
46,1
55,1
56,1
62,1
81,1
85,1
95,1
98,1
104,1
125,1
129,1
134,1
136,1
141,1
149,1
150,1
152,1
157,1
158,1
159,1
174,1
177,1
186,1
194,1
196,1
204,1
214,1
216,1
224,1
230,1
231,1
234,1
237,1
238,1
255,1
258,1
259,1
261,1
264,1
265,1
267,1
270,1
272,1
275,1
276,1
277,1
278,1
282,1
286,1
288,1
290,1
291,1
293,1
300,1
314,1
316,1
318,1
